Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Race,Value
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,GASTROINTESTINAL,Black,306689
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,URINARY,Black,165858
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,REPRODUCTIVE HEALTH,Black,255989
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,BREAST,Black,10999
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,CANCER,Black,84709
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,HEMATOLOGIC/IMMUNOLOGIC,Black,114679
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,MUSCULOSKELETAL,Black,494105
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,NEUROLOGIC,Black,219767
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,MENTAL HEALTH/SUD,Black,348717
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,SENSE ORGAN,Black,351480
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,DENTAL,Black,103389
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,DERMATOLOGIC,Black,175869
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13",Race/Ethnicity by Domains,Domains,,OTHER,Black,474540
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS,Black,13037
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,Black,2256
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,Black,76945
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,Black,31192
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,Black,228677
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,Black,343192
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Overweight/Obesity,Black,151909
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders,Black,37116
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,Black,5387
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,Black,51458
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",Black,97979
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,Black,41423
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Hypertension,Black,486421
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Chest Pain/Angina,Black,54047
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Acute MI,Black,4566
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Coronary Artery Disease,Black,75915
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Heart Failure,Black,44205
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Valvular Disease,Black,16710
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,Black,21000
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,Black,41451
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,Black,14380
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,Black,32925
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,Black,20502
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,Black,5395
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,Black,14875
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,Black,44609
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,Black,33838
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,Black,52349
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Asthma,Black,35432
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Sarcoidosis,Black,5907
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Pneumonia,Black,13668
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,Black,75212
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,Black,78719
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",Black,62384
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,Black,42771
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,Black,132280
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,Black,13052
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,Black,8508
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,Black,20332
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,Black,21844
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",Black,51970
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,Black,19253
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,Black,3369
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,Black,44980
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hernia,Black,19977
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,Black,28532
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,Black,48387
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,Black,33050
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,Black,5731
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,Black,7061
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,Black,50262
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Renal failure or Nephropathy,Black,83280
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Calculus of urinary tract,Black,8830
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Hematuria,Black,19648
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Kidney/Ureter Diseases - Other,Black,15723
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis),Black,29302
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Incontinence,Black,21237
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Symptoms - Other,Black,23055
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,URINARY,Urinary Conditions - Other,Black,26295
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Male genital disorders,Black,91071
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,STIs,Black,12468
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Vaginitis/ cervicitis/ and other pelvic inflammatory conditions,Black,7961
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Cervical Dysplasia/ASCUS,Black,2081
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Endometriosis,Black,943
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Menstrual disorders,Black,8355
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Fibroids,Black,4748
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,"Ovarian cyst at least once, FY13",Black,1448
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Polycystic ovaries,Black,776
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Benign Gynecologic Neoplasms - Other,Black,752
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Prolapse of female genital organs,Black,492
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Female Reproductive Organ Disorders - Other,Black,10918
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Sexual Dysfunction,Black,109511
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Contraceptive Care Management,Black,8254
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Infertility,Black,1153
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Menopausal disorders,Black,7228
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Miscarriage,Black,249
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13",Race/Ethnicity by Conditions,Conditions,REPRODUCTIVE HEALTH,Ectopic pregnancy,Black,90
